,ILP Objective,ILP Runtime,FE Runtime,ILP Objective Pruned,ILP Runtime Pruned,ILP Objective N = 1,ILP Runtime N = 1,ILP Objective N = 2,ILP Runtime N = 2
i080-305,5932.0,0.1446602344512939,0.9615670004859568,,,,,,
i080-111,2051.0,1.179358959197998,2.3487147642299533,,,,,,
i080-314,4515.0,9.1369149684906,2.605671599507332,,,,,,
i080-212,3677.0,4.223328113555908,2.359667481854558,,,,,,
i080-345,4341.0,162.70167088508606,4.400406022556126,,,,,,
i080-312,4534.0,15.765386819839478,2.571614433079958,,,,,,
i080-213,3678.0,6.5692009925842285,2.2940163845196366,,,,,,
i080-244,3466.0,17.88438606262207,3.984337331727147,,,,,,
i080-235,4487.0,0.2558460235595703,1.136002306826413,,,,,,
i080-214,3734.0,18.130639791488647,2.342585038393736,,,,,,
i080-241,3538.0,110.90135598182678,3.85116194561124,,,,,,
i080-215,3681.0,6.572022199630737,2.3998993486166,,,,,,
i080-143,1767.0,1.62245512008667,3.352644727565348,,,,,,
i080-315,4459.0,1.696969985961914,2.4314963025972247,,,,,,
i080-245,3467.0,7.748534917831421,3.9511409541592,,,,,,
i080-343,4246.0,22.725541830062863,4.274252948351204,,,,,,
i080-332,5362.0,0.3038089275360107,1.1969385342672467,,,,,,
i080-311,4554.0,4.198182106018066,2.470150255598128,,,,,,
i080-243,3474.0,19.268171072006226,4.021869116462767,,,,,,
i080-331,5226.0,0.492034912109375,1.2266021762043238,,,,,,
i080-342,4337.0,38.23952102661133,4.293710481375456,,,,,,
i080-344,4310.0,10.37998914718628,4.167735288850963,,,,,,
i080-044,1366.0,0.2918250560760498,3.373167909681797,,,,,,
i160-214,5720.0,900.9515171051024,7.640627346932888,,,,,,
i160-115,2937.0,47.05860209465027,5.089567011222243,,,,,,
i160-311,9135.0,579.6346168518066,13.089409799315035,,,,,,
i160-344,8307.0,27245.214427948,54.17101723048836,8324.0,332.8377661705017,8307.0,3001.564507961273,,
i160-244,5076.0,7762.750551939011,25.680089465342466,5103.0,64.0677227973938,5103.0,4065.789906024933,5103.0,8110.484148025513
i160-345,8327.0,70653.84342908859,51.93442065641284,8327.0,339.0989589691162,,,,
i160-343,8275.0,20897.36812901497,50.5490968041122,8275.0,90.99303007125854,,,,
i160-342,8348.0,91351.38469099998,60.09965805429965,8355.0,1447.6174159049988,,,,
i160-232,6558.0,3.926841974258423,3.1045226315036416,,,,,,
i160-211,5583.0,397.6272571086884,8.09136275947094,,,,,,
i160-212,5643.0,1002.3001680374146,14.184577439911664,,,,,,
i160-315,9086.0,2331.261773824692,13.071386645548046,,,,,,
i160-314,8941.0,2808.6733441352844,14.097816520370545,,,,,,
i160-313,9159.0,3832.5407450199127,15.259630393236876,9159.0,69.15766096115112,,,,
i160-241,5086.0,6446.484884977341,24.782817639410496,5086.0,39.823646068573,,,,
i160-112,2924.0,5.231147050857544,4.985292067751288,,,,,,
i160-341,8331.0,52473.687999010086,53.653057569637895,8331.0,109.72695803642273,,,,
i160-215,5518.0,62.69361400604248,7.957167619839311,,,,,,
i160-142,2562.0,69.62814283370972,15.528218634426594,,,,,,
i160-245,5084.0,3014.0528650283813,28.052475398406383,5084.0,9.618763208389282,,,,
i160-305,11423.0,0.8166208267211914,2.298991552554071,,,,,,
i160-144,2607.0,102.1179428100586,15.63537620846182,,,,,,
i160-043,1549.0,9.13822889328003,14.31626257672906,,,,,,
i160-213,5647.0,196.781044960022,8.237089780159295,,,,,,
i160-033,2101.0,0.1392741203308105,2.117423305287957,,,,,,
i160-242,5106.0,4817.800565004349,27.340317541733384,5106.0,68.23083996772766,,,,
i160-012,1750.0,0.8891699314117432,4.619464037939906,,,,,,
i160-312,9052.0,1388.783178806305,13.09526960644871,,,,,,
i160-045,1554.0,17.61527705192566,14.314104433171453,,,,,,
i160-243,5050.0,1801.4331459999084,24.27095886413008,,,,,,
i160-201,6923.0,0.5343599319458008,2.052158191800117,,,,,,
i160-332,10806.0,38.09324598312378,3.829938326962292,,,,,,
